162,549,387,301,139
1085,1425,340,1216,131
2618,2754,136,2653,35
3490,3571,81,3537,47
3943,4060,117,3972,29
4673,4745,72,4710,37
5482,5575,93,5527,45
6919,7002,83,6962,43
10045,10192,147,10147,102
11149,11215,66,11182,33
12548,12688,140,12635,87
16377,16539,162,16489,112
17252,17332,80,17289,37
18148,18234,86,18188,40
19097,19173,76,19135,38
19900,19974,74,19934,34
20433,20530,97,20476,43
21056,21137,81,21096,40
22555,22636,81,22593,38
23175,23266,91,23220,45
24694,24786,92,24730,36
25950,26019,69,25980,30
26852,26923,71,26886,34
27595,27690,95,27629,34
28756,28819,63,28787,31
30469,30551,82,30505,36
31146,31241,95,31184,38
32534,32622,88,32564,30
34589,34676,87,34619,30
35780,35886,106,35827,47
37095,37161,66,37127,32
38121,38188,67,38154,33
39797,39880,83,39840,43
41278,41350,72,41311,33
42189,42294,105,42252,63
43466,43538,72,43501,35
44435,44501,66,44469,34
44972,45132,160,45024,52
46184,46264,80,46217,33
47651,47720,69,47687,36
48513,48642,129,48591,78
49923,50001,78,49966,43
53017,53141,124,53058,41
53841,53953,112,53885,44
55010,55129,119,55086,76
56391,56483,92,56437,46
57189,57248,59,57218,29
58516,58602,86,58556,40
59212,59310,98,59248,36
60071,60149,78,60107,36
60904,61007,103,60961,57
61544,61687,143,61642,98
63016,63176,160,63076,60
64293,64394,101,64343,50
66241,66309,68,66271,30
67925,68007,82,67965,40
68587,68662,75,68629,42
69761,69844,83,69806,45
70468,70576,108,70526,58
71397,71489,92,71437,40
72398,72507,109,72451,53
74407,74504,97,74455,48
75191,75266,75,75226,35
76206,76283,77,76245,39
78288,78396,108,78318,30
79070,79173,103,79116,46
80027,80101,74,80065,38
80632,80739,107,80678,46
82389,82480,91,82436,47
83058,83169,111,83110,52
83898,83962,64,83930,32
84450,84535,85,84488,38
85513,85633,120,85570,57
89206,89281,75,89242,36
90594,90686,92,90645,51
91344,91506,162,91460,116
93508,93577,69,93541,33
94725,94814,89,94768,43
95556,0,0,0,0
