Index,1,2,4,6,8,10,11,13,15,16,17,18,19,22,25,27,35,38,39,40,42,44,60,61,64,77,79,83,85,86,87,88,89,92,94,99,101,102,103,106,115,126,128,131,135,139,140,143,144,148,150,153,154,155,160,164,165,167,170,174,175,177,178,183,184,186,191,205,215,219,220,221,228,230,241,245,246,251,255,256,260,267,269,270,274,275,276,278,280,281,283,290,291,299,300,311,315,324,326,328,331,338,348,352,356,357,360,363,367,371,377,380,382,385,398,401,405,406,407,420,430,433,438,439,444,445,
Curve - Decay Tau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Propagation - Onset - Overall,4.034617,10.010584,38.55241,4.213392,11.678584,19.0959,15.55826,25.9742,4.6898565,4.3758445,31.614388,0.913666,1.4355664,10.851115,2.5730352,6.6666036,22.729603,80.14396,1.8202832,30.162899,0.9750586,0.22106805,1.1121458,2.428519,1.4316237,1.4667711,0.71048355,13.970434,11.190305,1.466595,2.8987374,1.7168355,14.6698065,0.76993704,0.33993095,21.839058,3.195321,1.4857985,3.3551664,21.408619,1.9711332,0.09256327,11.348033,2.0068123,0.6703535,3.8497753,35.27446,1.4913936,1.9788162,1.8079836,2.3161166,0.91396916,2.4863153,3.2599707,9.718573,1.6126187,0.0,13.921794,3.736763,9.445208,0.17033747,0.039025843,3.500635,2.8411496,8.011739,2.3670342,0.03011088,0.43526676,9.749046,2.803756,0.24369843,3.6325226,0.10916814,0.15916698,1.2790004,0.63341683,1.4840245,0.5150286,5.629085,0.0,43.481808,12.286653,4.3632092,50.063946,0.0,0.40976727,0.09249644,2.7810204,17.04139,1.205302,21.233858,0.0,0.5683789,0.22847746,1.0046229,0.0,0.5105132,0.0,0.0,0.5412214,5.3713274,0.17164455,1.3796204,0.0,0.7300904,4.5855317,2.1081796,0.06529012,0.2992726,7.8351974,0.51821303,3.804348,0.0,1.896811,0.0,0.43112254,0.88918924,1.6483759,1.2445283,7.202639,0.6986712,3.2695494,4.0482073,28.401405,0.0,32.881783,
Propagation - Onset - One Direction - Anterior,0.9994385,1.0465249,13.725643,0.09307855,4.1767435,3.434431,7.4262114,9.368098,0.027055606,2.5037105,2.5863767,0.18995672,1.2076285,5.3553004,0.17637062,0.34436828,8.333007,33.19684,0.34063762,3.1483357,0.0,0.0,0.53857464,1.467885,0.29757756,0.7438117,0.17080635,3.0115073,3.6775146,0.7695886,0.46771696,0.09041265,7.379734,0.54600054,0.096532784,5.4870214,0.0,1.183827,1.9287688,0.059870362,1.1432968,0.065386884,0.89496064,0.7318,0.17877637,0.4440259,17.757025,0.63791275,1.285727,0.23472187,0.78104085,0.1984925,1.453214,0.407416,4.0003633,1.2171249,0.0,5.3120046,1.9959502,0.8237405,0.0,0.039025843,1.9379289,1.4681419,1.6334658,0.8335739,0.013876781,0.0,1.0594399,1.2868196,0.0,1.0260061,0.0,0.0,0.18520151,0.21558824,0.41195977,0.19599982,0.95158315,0.0,9.37206,0.3662765,0.63625455,17.642132,0.0,0.0,0.0,1.4757068,2.9473383,0.6627811,0.38133204,0.0,0.36648047,0.032451928,0.17684619,0.0,0.4352445,0.0,0.0,0.053199396,1.1859393,0.0,0.7081091,0.0,0.5628871,0.0,0.29040256,0.016927019,0.27145588,1.1828076,0.48349312,0.4124891,0.0,0.7726862,0.0,0.0,0.21422836,0.2756076,0.031339034,2.0069818,0.36170444,0.0,1.3160217,5.629928,0.0,13.208256,
Propagation - Onset - One Direction - Posterior,0.60698223,7.4222918,8.24927,1.5455668,4.346326,11.113459,5.3222938,10.415601,4.2339215,0.9520336,16.8494,0.52257395,0.102601975,1.0317818,0.6047038,6.0304136,2.7579563,24.977467,0.972623,15.77431,0.64862806,0.17419307,0.3022651,0.65671587,1.1340461,0.17380467,0.50511616,2.3088672,6.8728986,0.40378633,0.9430295,0.9746469,3.5625408,0.023017228,0.09413401,10.03549,1.263244,0.13434781,1.3613873,9.2697315,0.68096006,0.0068806633,1.9501704,0.43044752,0.32084295,1.7498294,14.497625,0.63791275,0.129922,1.5498383,0.8460708,0.5856364,0.6765366,2.011892,3.7782297,0.0,0.0,4.9684563,0.61977845,7.4151316,0.13535106,0.0,1.2157067,0.8811629,3.1123333,1.2874463,0.0,0.35412687,2.534908,0.7364642,0.2173185,1.4808819,0.09914842,0.10637826,0.6531145,0.30828112,0.37516174,0.24868117,3.1476898,0.0,23.066444,3.5021172,2.331422,19.895391,0.0,0.40976727,0.086427346,0.9098829,10.652419,0.35568708,15.776953,0.0,0.042064846,0.08420098,0.44344777,0.0,0.008723378,0.0,0.0,0.48020947,2.2937984,0.17164455,0.32312202,0.0,0.0,3.353557,1.4882464,0.0,0.0,2.6842039,0.0,1.9697807,0.0,0.50123733,0.0,0.2335373,0.5385456,0.4087398,0.031339034,2.5762792,0.3292225,1.1933594,1.2819492,13.113396,0.0,9.282105,
Propagation - Onset - One Direction - Left,0.4666802,0.3867215,11.380199,2.4892972,2.3930602,0.14644043,1.5612854,2.8308215,0.41646343,0.5336431,10.914857,0.060108438,0.04205826,0.6579721,1.791961,0.011284728,3.351122,11.401327,0.19736508,2.3672445,0.31895453,0.046874985,0.21206138,0.2812159,0.0,0.35960814,0.012828976,1.6069624,0.49413225,0.1148622,1.1944759,0.62130725,2.8084867,0.075013556,0.14926416,3.6077886,0.21905632,0.009526037,0.06297474,1.9700593,0.089754015,0.0,0.24183644,0.110287525,0.03339871,0.05078125,0.06066934,0.20213822,0.5575248,0.023423448,0.21932249,0.071397185,0.02608151,0.09643312,0.17205319,0.3049841,0.0,1.3851608,1.1210344,0.5638868,0.0,0.0,0.26531926,0.15247634,0.86554325,0.16510579,0.0,0.0,0.0,0.5258571,0.026379928,0.78623724,0.0,0.027165249,0.22689733,0.109547436,0.08632812,0.0,1.2083808,0.0,8.335584,7.180469,1.1144326,11.603852,0.0,0.0,0.0,0.09839584,3.244585,0.16756065,0.72782344,0.0,0.103906356,0.11182456,0.15581328,0.0,0.0665453,0.0,0.0,0.00781253,0.5301717,0.0,0.047549695,0.0,0.09619078,1.2054863,0.044044033,0.048363104,0.027816713,0.0,0.0,0.325,0.0,0.22407897,0.0,0.19758523,0.037018083,0.5874661,1.1752212,2.487944,0.007744342,0.66797054,1.3220742,9.515379,0.0,4.6970425,
Propagation - Onset - One Direction - Right,1.961516,1.155046,5.1972947,0.08544928,0.7624537,4.40157,1.2484705,3.3596783,0.012415975,0.38645735,1.2637554,0.14102691,0.08327773,3.8060608,0.0,0.28053665,8.287518,10.568332,0.30965763,8.873009,0.0074760467,0.0,0.059244663,0.022702247,0.0,0.18954654,0.021732122,7.043098,0.14575937,0.17835794,0.29351518,0.030468673,0.91904485,0.12590571,0.0,2.7087576,1.7130207,0.15809767,0.0020359457,10.108958,0.05712232,0.020295724,8.2610655,0.73427725,0.13733548,1.6051387,2.959141,0.01342988,0.0056423396,0.0,0.4696824,0.05844307,0.330483,0.7442292,1.7679263,0.0905097,0.0,2.256173,0.0,0.64244795,0.0349864,0.0,0.08167997,0.33936852,2.400396,0.08090821,0.0162341,0.08113989,6.1546984,0.25461507,0.0,0.33939737,0.01001972,0.02562347,0.21378708,0.0,0.61057484,0.07034764,0.32143185,0.0,2.707723,1.2377899,0.28109998,0.92257357,0.0,0.0,0.006069094,0.29703498,0.19704893,0.019273102,4.34775,0.0,0.05592729,0.0,0.22851562,0.0,0.0,0.0,0.0,0.0,1.3614177,0.0,0.30083954,0.0,0.07101247,0.026488408,0.28548646,0.0,0.0,3.968186,0.034719944,1.097078,0.0,0.39880842,0.0,0.0,0.09939715,0.3765624,0.0066289306,0.13143414,0.0,1.4082196,0.1281623,0.14270177,0.0,5.6943817,
Propagation - Onset - One Direction - Ratio - Anterior,0.24771585,0.104541846,0.35602555,0.022091122,0.35764125,0.17985176,0.47731632,0.36066937,0.0057689627,0.57216626,0.08181012,0.20790608,0.8412209,0.49352536,0.068545744,0.051655732,0.36661473,0.41421512,0.18713441,0.104377754,0.0,0.0,0.48426622,0.6044363,0.20786019,0.5071083,0.24040858,0.2155629,0.328634,0.5247451,0.16135196,0.05266238,0.503056,0.7091496,0.28397763,0.2512481,0.0,0.7967615,0.5748653,0.0027965542,0.58002007,0.70640206,0.07886483,0.36465794,0.26668972,0.11533813,0.5033961,0.4277293,0.6497456,0.12982522,0.33722,0.21717636,0.58448505,0.12497535,0.41162047,0.7547506,,0.38156036,0.53413886,0.08721253,0.0,1.0,0.5535936,0.5167422,0.20388405,0.35215962,0.46085602,0.0,0.10867113,0.45896277,0.0,0.28245002,0.0,0.0,0.14480177,0.3403576,0.27759632,0.38056102,0.16904756,,0.2155398,0.029810928,0.14582261,0.35239196,,0.0,0.0,0.530635,0.17295176,0.549888,0.017958678,,0.64478195,0.14203557,0.17603241,,0.8525627,,,0.09829507,0.22079073,0.0,0.5132637,,0.77098274,0.0,0.13775039,0.25925848,0.9070523,0.15096079,0.9330007,0.1084257,,0.40736067,,0.0,0.2409255,0.16719948,0.025181456,0.27864534,0.51770335,0.0,0.32508752,0.1982271,,0.40168917,
Propagation - Onset - One Direction - Ratio - Posterior,0.15044358,0.74144447,0.21397547,0.36682248,0.37216204,0.5819814,0.34208798,0.40099797,0.90278274,0.21756569,0.5329662,0.57195294,0.07147142,0.09508532,0.23501574,0.9045706,0.12133764,0.31165752,0.5343251,0.5229706,0.66521955,0.7879613,0.2717855,0.27041826,0.79213977,0.11849474,0.71094704,0.16526811,0.6141833,0.27532232,0.32532424,0.5676997,0.24284852,0.029894948,0.27692097,0.45952028,0.3953418,0.09042129,0.4057585,0.43299064,0.3454663,0.0743347,0.17185096,0.21449316,0.47861758,0.45452768,0.41099498,0.4277293,0.06565643,0.8572192,0.36529717,0.6407616,0.2721041,0.61715037,0.38876384,0.0,,0.35688335,0.16585971,0.78506815,0.7946053,0.0,0.34728178,0.31014308,0.38847163,0.5439069,0.0,0.8135858,0.260016,0.26267058,0.89175177,0.40767315,0.90821755,0.6683438,0.5106445,0.4866955,0.25280023,0.48284924,0.5591832,,0.530485,0.28503427,0.5343365,0.39739957,,1.0,0.93438566,0.32717592,0.625091,0.29510203,0.7430092,,0.07400846,0.36853078,0.44140717,,0.017087469,,,0.88727,0.427045,1.0,0.23421082,,0.0,0.7313344,0.7059391,0.0,0.0,0.3425828,0.0,0.5177709,,0.26425266,,0.5416959,0.6056592,0.24796517,0.025181456,0.35768545,0.47121233,0.364992,0.31667084,0.46171644,,0.28228718,
Propagation - Onset - One Direction - Ratio - Left,0.11566902,0.038631264,0.29518774,0.590806,0.20491013,0.0076686847,0.1003509,0.1089859,0.08880089,0.121952035,0.34524968,0.065788195,0.029297328,0.060636356,0.69643855,0.0016927251,0.14743425,0.1422606,0.108425476,0.078481995,0.32711318,0.21203871,0.19067767,0.11579728,0.0,0.24516991,0.018056683,0.115025945,0.044157177,0.07831896,0.41206765,0.36189097,0.19144675,0.097428165,0.4391014,0.1651989,0.06855534,0.0064113922,0.018769484,0.092021786,0.04553422,0.0,0.02131087,0.05495657,0.049822535,0.013190705,0.0017199226,0.13553646,0.28174663,0.012955564,0.09469406,0.07811772,0.010490025,0.029580977,0.017703544,0.1891235,,0.09949586,0.30000147,0.05970084,0.0,0.0,0.075791754,0.053667128,0.10803438,0.06975218,0.0,0.0,0.0,0.18755451,0.10824825,0.21644387,0.0,0.17067139,0.17740208,0.17294684,0.058171626,0.0,0.21466736,,0.19170278,0.58441216,0.2554158,0.23178062,,0.0,0.0,0.0353812,0.1903944,0.13901964,0.034276552,,0.18281177,0.48943365,0.15509628,,0.13034981,,,0.014434999,0.09870403,0.0,0.03446578,,0.13175188,0.2628891,0.020891974,0.7407415,0.092947744,0.0,0.0,0.085428566,,0.11813458,,0.4583041,0.041631278,0.35639086,0.94431055,0.34542117,0.011084387,0.2043005,0.32658264,0.335032,,0.14284635,
Propagation - Onset - One Direction - Ratio - Right,0.48617157,0.11538248,0.13481115,0.020280402,0.06528648,0.23049816,0.08024487,0.12934674,0.0026474104,0.08831606,0.03997406,0.15435281,0.058010366,0.35075295,0.0,0.042080898,0.36461338,0.13186686,0.17011508,0.29416963,0.0076672793,0.0,0.05327059,0.009348186,0.0,0.12922707,0.03058779,0.5041431,0.0130255055,0.12161363,0.101256214,0.017746996,0.062648736,0.16352728,0.0,0.12403271,0.53610283,0.10640586,6.0680916E-4,0.47219104,0.028979432,0.21926326,0.72797334,0.36589232,0.20487024,0.41694346,0.08388905,0.009004921,0.0028513712,0.0,0.20278876,0.06394425,0.13292079,0.22829323,0.18191214,0.056125913,,0.1620605,0.0,0.06801841,0.20539461,0.0,0.023332901,0.11944761,0.29960987,0.03418126,0.539144,0.18641417,0.63131285,0.09081213,0.0,0.09343297,0.09178245,0.16098484,0.16715169,0.0,0.41143176,0.13658977,0.05710197,,0.062272545,0.100742646,0.06442505,0.018427903,,0.0,0.06561435,0.10680791,0.011562961,0.015990268,0.20475554,,0.098397896,0.0,0.22746408,,0.0,,,0.0,0.2534602,0.0,0.21805964,,0.09726531,0.0057765185,0.13541847,0.0,0.0,0.5064564,0.06699936,0.28837478,,0.21025206,,0.0,0.111784026,0.22844449,0.00532646,0.018248053,0.0,0.43070754,0.031659026,0.0050244615,,0.1731774,
