Index,28,42,55,60,64,66,67,71,85,90,101,108,110,116,120,128,139,160,173,180,193,195,202,212,241,242,256,270,279,282,296,311,350,379,404,432,447,532,537,540,555,582,594,
Propagation - Onset - One Direction - Anterior,0.103715256,0.0,0.7931893,0.11960977,0.2598756,0.04087718,2.0966396,0.6443675,0.0,0.7451197,0.39531845,0.0,0.0,1.1085912,0.7027889,0.32778436,1.2192627,0.05342062,0.0,0.19959706,0.282277,0.07042803,0.0,0.25884384,0.49612954,0.0,0.3270738,11.547289,0.5357199,0.0,0.84445643,0.0,0.71008086,0.37041533,0.0,0.66108364,0.79366255,0.17604169,1.1061336,0.39180815,0.27416924,0.68471587,0.0,
Propagation - Onset - One Direction - Posterior,2.160163,0.0,0.20769261,0.0,0.4318291,0.03793329,1.5084714,0.41861793,0.07375373,0.7851223,0.27461535,0.0,0.0,0.23099983,0.6365449,0.48556897,1.608677,0.13105775,0.0,0.17682245,10.287268,0.27495804,0.14592442,0.038326144,1.3672297,0.09027782,0.5700033,0.4994595,0.0,0.0,3.769092,0.0,1.7981466,0.62114775,10.368225,0.1341972,0.66848326,0.07222222,0.0,0.2843912,0.9038567,0.68471587,0.0,
Propagation - Onset - One Direction - Left,1.922127,0.0,0.081962794,0.0,0.50047827,0.17546035,0.09543035,0.015880182,0.0,0.3533007,0.034148,0.0,0.0,0.567553,0.05842486,0.3591351,0.82710576,0.06547706,0.0,0.42224807,5.3584313,0.0,0.10782124,0.09694598,0.15240574,0.0,0.38361692,11.031796,0.012310594,0.0,0.5869157,0.0,0.6552793,0.18438432,0.0,0.0,10.167546,0.15959823,0.23216414,0.12939423,0.36562493,0.070287585,0.0,
Propagation - Onset - One Direction - Right,0.18117592,0.0,0.29629576,0.0,0.17481625,0.0,1.1276766,0.75002956,0.0,0.67143375,0.43394884,0.0,0.0,0.3477089,0.06261356,0.034396827,0.11425781,0.05801089,0.0,0.203125,0.47033057,0.8543068,0.0,0.11184277,0.20622483,0.33950886,0.0,1.2644365,0.0,0.0,0.028084233,0.0,1.338371,0.14770757,2.374993,1.2140878,0.18355823,0.017410725,0.024826527,0.23884316,0.72670966,0.17689036,0.0,
Propagation - Onset - One Direction - Ratio - Anterior,0.023748789,,0.575133,1.0,0.19010662,0.16076237,0.4342471,0.3523261,0.0,0.29163465,0.34737065,,,0.49164677,0.48123956,0.27159527,0.32347164,0.17346254,,0.19923991,0.017213788,0.058705043,0.0,0.51159084,0.22328164,0.0,0.25538793,0.47435805,0.9775366,,0.16150878,,0.15772992,0.2798428,0.0,0.32900068,0.0671841,0.41395,0.8114694,0.37513825,0.120760225,0.42355052,,
Propagation - Onset - One Direction - Ratio - Posterior,0.49463555,,0.15059568,0.0,0.31589562,0.1491846,0.31242818,0.22889115,1.0,0.3072914,0.24130751,,,0.102445625,0.43587852,0.4023323,0.42678365,0.42555872,,0.17650606,0.62733716,0.22919035,0.5750814,0.07574955,0.6153177,0.21005262,0.44507375,0.020517599,0.0,,0.7208678,,0.39942145,0.4692671,0.8136269,0.06678575,0.05658758,0.1698256,0.0,0.27229145,0.39811152,0.42355052,,
Propagation - Onset - One Direction - Ratio - Left,0.44012994,,0.059430342,0.0,0.3661145,0.69005305,0.01976513,0.008682937,0.0,0.13827944,0.030006222,,,0.25170287,0.040006828,0.29757184,0.219432,0.2126111,,0.42149252,0.32676733,0.0,0.42491853,0.19160847,0.068589754,0.0,0.2995383,0.4531818,0.022463338,,0.11225213,,0.14555688,0.13929938,0.0,0.0,0.86069,0.3752843,0.17031766,0.123889014,0.16104268,0.04347839,,
Propagation - Onset - One Direction - Ratio - Right,0.041485783,,0.21484089,0.0,0.12788321,0.0,0.2335596,0.4100998,0.0,0.2627945,0.38131562,,,0.1542047,0.04287507,0.028500494,0.030312713,0.18836765,,0.20276155,0.028681653,0.71210456,0.0,0.22105116,0.09281088,0.7899474,0.0,0.05194255,0.0,,0.0053713256,,0.29729173,0.11159068,0.1863731,0.6042136,0.015538333,0.04094013,0.01821296,0.22868131,0.3200856,0.109420575,,
Propagation - Offset - Overall,2.8023016,0.0,2.0989544,0.3706568,1.0536264,0.19577332,3.0208306,2.133573,0.33704317,2.130518,0.6699338,0.0,0.0,1.1331946,1.9910954,1.5077369,5.0501695,0.4443151,0.0,1.2492977,3.5271168,0.3926952,0.14592442,0.5378126,1.2634987,0.09027782,1.3791788,6.672982,1.0524414,0.0,1.946358,0.0,2.4007733,1.6807358,2.633236,0.82067144,1.3538615,0.26821372,1.1846293,0.81798667,1.754423,1.6166097,0.0,
Propagation - Offset - One Direction - Anterior,2.110895,0.0,0.20769261,0.0,0.4318291,0.03793329,1.2725096,0.41861793,0.07375373,0.7851223,0.27461535,0.0,0.0,0.024603367,0.6365449,0.48556897,1.608677,0.13105775,0.0,0.17682245,2.4408393,0.27495804,0.14592442,0.038326144,0.6210659,0.09027782,0.5700033,0.4994595,0.0,0.0,0.98918104,0.0,0.9927639,0.62114775,2.6245422,0.1341972,0.23862039,0.07222222,0.0,0.2843912,0.9038567,0.68471587,0.0,
