Index,13,25,28,35,48,54,67,72,76,79,81,88,109,114,126,127,148,152,154,159,162,167,168,179,184,185,189,191,197,204,206,208,213,220,239,240,245,250,255,256,260,268,274,280,281,283,284,286,290,291,293,295,300,301,302,311,313,315,317,322,323,325,326,330,333,338,339,340,341,342,352,359,
Curve - Decay Tau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Propagation - Onset - Overall,0.0,0.6521667,10.617602,6.4532,15.0653,7.828406,5.4337344,1.2447939,3.8346288,2.949361,2.6166494,0.6935298,8.524795,2.7148125,0.7316371,0.0,23.424885,0.5254962,0.5898646,3.1822174,26.396275,1.8966361,3.4102323,1.8170451,1.6735206,1.3959354,2.2817843,2.0821154,0.12113739,0.18326406,12.1006155,1.3782177,0.0,5.56849,1.2484581,0.0,1.7442924,0.0,0.0,12.582872,1.5929418,0.41909105,1.2470421,0.15568429,21.237875,2.945926,63.363586,0.0,20.664871,1.420222,0.0,0.0,0.404473,3.477591,0.0,0.77125394,1.7999866,59.132317,12.458712,2.3159869,1.86892,31.982355,1.0464705,1.7549077,0.6261252,7.7805505,7.8102474,0.3651588,33.811474,0.123410694,4.8420625,24.651691,
Propagation - Onset - One Direction - Anterior,0.0,0.019479811,4.439518,0.7138099,3.3083472,2.5107245,0.98203367,0.33204994,1.9238211,1.6832083,1.1396809,0.4417556,0.038971238,0.70149255,0.21445565,0.0,7.3659854,0.10647202,0.07798942,0.83713824,2.722226,1.1962332,2.333959,0.46176234,1.4177257,1.3959354,0.73365986,1.0831587,0.0,0.18326406,4.467532,0.32751864,0.0,0.99312073,0.115342684,0.0,1.1220341,0.0,0.0,12.29462,0.0012564373,0.08926803,0.6231252,0.051473077,4.8325443,1.0447251,6.5106187,0.0,0.9318389,0.046399996,0.0,0.0,0.0,0.0,0.0,0.021936543,0.32785657,8.781424,10.697444,1.451027,0.0,6.855368,0.23869008,0.0,0.3229545,5.5106354,1.5136853,0.18753082,5.19123,0.0,2.099038,7.9744306,
Propagation - Onset - One Direction - Posterior,0.0,0.012575117,5.000368,1.8623152,2.8896146,1.3633177,2.828559,0.80571663,0.84927475,0.58813614,0.96502775,0.04313742,5.6463585,0.4390408,0.30142936,0.0,3.7107773,0.17096375,0.048831172,1.503478,14.094246,0.22761765,0.9115576,0.14377989,0.0,0.0,1.4479284,0.23485078,0.05915806,0.0,5.66233,0.7406,0.0,2.567287,0.71972364,0.0,0.11724457,0.0,0.0,0.007648199,0.93692315,0.08926803,0.06731774,0.002569211,1.4773071,0.086448886,36.240215,0.0,12.455637,0.24518172,0.0,0.0,0.33710697,1.2844979,0.0,0.58423406,0.8064785,14.728923,0.0,0.41478768,1.7275596,11.241821,0.46217996,0.7246282,0.017185796,0.019267049,5.9686584,0.10711864,5.555603,0.123410694,0.9079368,1.8021883,
Propagation - Onset - One Direction - Left,0.0,0.6201118,0.5590944,2.9447515,8.832904,0.5670149,0.008629924,0.033833396,0.15489684,0.2289491,0.0,0.026185198,0.29148716,0.880696,0.20635849,0.0,1.9013118,0.16628782,0.463044,0.8415272,0.7745001,0.44915482,0.15123652,0.126875,0.0,0.0,0.0,0.40468973,0.032375038,0.0,0.38723126,0.0741933,0.0,0.5948487,0.120531246,0.0,0.3230214,0.0,0.0,0.18475203,0.28826,0.24055499,0.092272684,0.101642,14.787179,1.7482224,9.132727,0.0,0.25056577,0.97101665,0.0,0.0,0.065598704,0.0,0.0,0.16508336,0.44292036,9.329321,0.0,0.44279018,0.0,0.08117258,0.09543318,0.1691667,0.0,0.039919566,0.14349376,0.07050936,0.0,0.0,1.7913891,7.5036836,
Propagation - Onset - One Direction - Right,0.0,0.0,0.61862206,0.9323231,0.034434125,3.3873487,1.6145118,0.07319396,0.90663624,0.44906753,0.51194066,0.18245153,2.5479777,0.6935832,0.009393659,0.0,10.44681,0.08177257,0.0,7.3953626E-5,8.805303,0.023630507,0.013479017,1.0846279,0.25579494,0.0,0.10019623,0.3594162,0.029604295,0.0,1.5835229,0.23590587,0.0,1.4132335,0.29286063,0.0,0.18199232,0.0,0.0,0.09585145,0.36650217,0.0,0.46432647,0.0,0.1408441,0.06652961,11.480026,0.0,7.026829,0.15762363,0.0,0.0,0.0017673367,2.193093,0.0,0.0,0.22273129,26.29265,1.7612675,0.007381811,0.14136042,13.803993,0.2501673,0.86111283,0.28598487,2.2107286,0.18440995,0.0,23.06464,0.0,0.04369885,7.3713884,
Propagation - Onset - One Direction - Ratio - Anterior,,0.029869374,0.4181281,0.110613324,0.21960048,0.32071978,0.18072905,0.26675093,0.5016968,0.57070273,0.4355497,0.636967,0.0045715165,0.25839448,0.2931175,,0.3144513,0.20261236,0.1322158,0.26306757,0.10312917,0.63071305,0.6843989,0.25412816,0.84715164,1.0,0.32152903,0.52022034,0.0,1.0,0.36919874,0.23763926,,0.1783465,0.09238811,,0.6432603,,,0.97709167,7.887528E-4,0.2130039,0.49968258,0.33062473,0.22754368,0.35463384,0.10275016,,0.0450929,0.032670945,,,0.0,0.0,,0.028442698,0.1821439,0.14850464,0.8586316,0.6265265,0.0,0.21434845,0.22809058,0.0,0.51579857,0.7082578,0.1938076,0.51355964,0.15353456,0.0,0.4335008,0.32348412,
Propagation - Onset - One Direction - Ratio - Posterior,,0.019282058,0.47095078,0.28858787,0.19180597,0.17415011,0.52055526,0.6472691,0.2214751,0.19941138,0.36880285,0.06219981,0.6623454,0.16172048,0.411993,,0.15841176,0.32533777,0.0827837,0.4724624,0.5339483,0.12001124,0.26730072,0.07912841,0.0,0.0,0.63455975,0.11279432,0.4883551,0.0,0.46793738,0.53736067,,0.46103826,0.57649,,0.06721612,,,6.0782616E-4,0.5881716,0.2130039,0.05398193,0.016502699,0.06956002,0.029345233,0.5719407,,0.60274446,0.1726362,,,0.8334474,0.36936426,,0.7575119,0.44804695,0.24908414,0.0,0.1790976,0.92436254,0.35150072,0.44165596,0.4129153,0.027447859,0.0024763092,0.7642086,0.2933481,0.16431117,1.0,0.18751034,0.07310607,
Propagation - Onset - One Direction - Ratio - Left,,0.95084864,0.052657314,0.45632425,0.5863079,0.07243044,0.0015882123,0.027179917,0.04039422,0.077626675,0.0,0.037756413,0.034192868,0.32440397,0.28205034,,0.08116632,0.31643963,0.78500044,0.2644468,0.029341264,0.23681656,0.044347864,0.069824904,0.0,0.0,0.0,0.1943647,0.26725885,0.0,0.032000955,0.053832788,,0.106824055,0.09654408,,0.18518765,,,0.014682818,0.1809608,0.5739922,0.07399324,0.6528725,0.6962645,0.5934373,0.1441321,,0.012125203,0.68370765,,,0.16218315,0.0,,0.2140454,0.2460687,0.15777026,0.0,0.19118856,0.0,0.0025380426,0.09119529,0.09639635,0.0,0.005130687,0.018372498,0.19309232,0.0,0.0,0.36996406,0.3043882,
Propagation - Onset - One Direction - Ratio - Right,,0.0,0.05826382,0.14447454,0.0022856581,0.43269968,0.2971275,0.058800064,0.2364339,0.15225926,0.1956474,0.2630767,0.2988902,0.25548106,0.012839233,,0.4459706,0.15561022,0.0,2.3239652E-5,0.33358127,0.012459167,0.0039525214,0.5969185,0.15284841,0.0,0.04391135,0.17262068,0.2443861,0.0,0.13086301,0.17116734,,0.25379115,0.23457785,,0.104335904,,,0.007617613,0.23007882,0.0,0.37234226,0.0,0.0066317418,0.022583598,0.18117703,,0.34003738,0.110985205,,,0.00436948,0.6306357,,0.0,0.12374053,0.44464096,0.14136836,0.0031873283,0.07563749,0.4316128,0.23905815,0.49068838,0.4567535,0.28413525,0.023611281,0.0,0.68215424,0.0,0.009024843,0.2990216,
