10185,10271,86,10224,39,0.21971
15744,15803,59,15773,29,0
21622,21795,173,21758,136,0
22214,22297,83,22250,36,0
23874,23934,60,23901,27,0
24800,24882,82,24845,45,0
26600,26795,195,26681,81,0
27078,27134,56,27105,27,0
28264,28417,153,28389,125,0
30022,30085,63,30056,34,0
30571,30738,167,30650,79,0
30760,30835,75,30803,43,0
36120,36203,83,36158,38,0
39714,39863,149,39748,34,0
40788,40939,151,40832,44,0
48858,48924,66,48891,33,0
52476,52609,133,52522,46,0
53617,53712,95,53663,46,0
55307,55578,271,55525,218,0
59671,59740,69,59704,33,0
70639,70717,78,70681,42,0
72169,72229,60,72200,31,0
77949,78056,107,78002,53,0
80770,80832,62,80800,30,0
83157,83235,78,83195,38,0
85686,85896,210,85727,41,0
87133,87200,67,87171,38,0
88026,88093,67,88058,32,0
