Index,5,44,76,90,91,120,151,153,155,179,197,200,216,251,267,293,319,333,371,377,393,414,422,460,474,477,514,532,534,555,567,569,585,589,602,604,610,611,616,619,621,
Propagation - Onset - One Direction - Posterior,1.8750143,0.0,0.06612455,0.15578443,0.04661812,0.08473757,1.3135818,0.07589283,0.0,0.47094697,0.79479426,0.0,2.2300122,0.08122009,0.21669406,0.8500184,3.8493936,0.0,0.1003265,0.0,14.727461,0.4417235,1.2561641,0.6691618,0.0,0.46780816,0.973744,0.0,0.11575368,0.093401186,0.26135963,0.021152914,0.787947,0.26626053,0.68216974,0.0,0.0,0.4679129,0.0,0.0,0.06092611,
Propagation - Onset - One Direction - Left,0.82089424,0.0,0.48656213,0.4711124,0.0,0.0,0.0,0.0,0.0,0.038085938,1.8186965,0.14262012,1.6436387,0.0,0.14157194,0.008724637,0.024722453,0.2115885,0.17739257,0.0,1.1533397,2.88923,0.19597769,0.14112319,0.0,0.14498296,0.104464255,0.005717598,0.10531065,0.044214696,0.040174525,0.0,0.9162829,0.0959991,0.012276791,0.0,0.0,0.052519698,0.0,0.0,0.001162,
Propagation - Onset - One Direction - Right,7.768361,0.0059243888,0.0,0.38194048,0.023767099,0.01091972,1.4366032,0.24029815,0.0,0.028888926,0.029947966,0.71455765,0.0,0.028018564,0.63355666,0.5783048,1.9385543,1.5083727,0.3349151,0.085195124,0.80083835,0.108095735,0.867623,0.09626478,0.0,0.059986398,1.0616767,0.0,0.14015616,0.0,0.023885846,0.01233539,1.7360704,0.09808047,0.085665755,0.0,0.0,0.037239596,0.0,0.0,0.0034957826,
Propagation - Onset - One Direction - Ratio - Anterior,0.4031752,0.9839819,0.38248557,0.65194094,0.833414,0.0,0.3232424,0.3053363,,0.12514241,0.37912765,0.57821053,0.37420425,0.55186594,0.01244615,0.2779841,0.07456089,0.74734116,0.63216174,0.4153002,0.28911138,0.039387632,0.36754537,0.6540679,,0.065789774,0.20071883,0.9555753,0.65168816,0.75116044,0.53996515,0.12292558,0.2434056,0.0,0.5224004,,,0.0,,1.0,0.85298824,
Propagation - Onset - One Direction - Ratio - Posterior,0.106940575,0.0,0.07388067,0.053747196,0.1103346,0.8858454,0.3232424,0.16673465,,0.7659319,0.18667573,0.0,0.36026275,0.3331924,0.2157614,0.42707467,0.6128645,0.0,0.06023811,0.0,0.6276113,0.12338441,0.34247732,0.25534678,,0.64959234,0.3637089,0.0,0.111617066,0.16888969,0.36947492,0.5540048,0.17328611,0.57839966,0.41763738,,,0.8390465,,0.0,0.13657095,
Propagation - Onset - One Direction - Ratio - Left,0.046819326,0.0,0.54363376,0.16253853,0.0,0.0,0.0,0.0,,0.061941657,0.42716274,0.07017875,0.265533,0.0,0.1409626,0.004383519,0.0039360784,0.031081924,0.106510185,0.0,0.049149614,0.80703413,0.053430848,0.053851478,,0.20132147,0.039019067,0.0444248,0.101547234,0.079949796,0.056793313,0.0,0.20150988,0.20853952,0.0075160866,,,0.09417664,,0.0,0.0026047197,
Propagation - Onset - One Direction - Ratio - Right,0.4430649,0.016018063,0.0,0.13177331,0.056251377,0.11415461,0.35351515,0.52792907,,0.046983954,0.0070339693,0.35161072,0.0,0.11494167,0.6308298,0.29055765,0.3086385,0.2215769,0.20108998,0.5846998,0.034127753,0.03019384,0.23654647,0.036733866,,0.083296336,0.3965532,0.0,0.1351475,0.0,0.033766583,0.32306966,0.3817984,0.2130609,0.052446216,,,0.06677686,,0.0,0.007836088,
Propagation - Offset - Overall,4.8464994,0.47638708,0.52438104,2.223557,1.2983303,0.15521713,4.063767,0.2586606,0.0,0.54789305,2.8083067,1.2482051,0.54181147,0.74535644,0.2561056,1.664219,3.017561,0.39185417,1.1802202,0.060512334,10.295435,2.5544288,2.7041123,2.4672391,0.0,1.2314234,1.605312,0.12927248,1.3039619,1.2071486,0.71499616,0.16105066,3.8035018,0.2673645,1.9372672,0.0,0.0,0.48719957,0.0,0.071093634,0.73283696,
Propagation - Offset - One Direction - Anterior,1.8750143,0.0,0.06612455,0.15578443,0.04661812,0.08473757,1.3135818,0.07589283,0.0,0.47094697,0.79479426,0.0,0.1752832,0.08122009,0.21669406,0.8500184,1.6648048,0.0,0.1003265,0.0,2.2598283,0.4417235,0.64124066,0.6691618,0.0,0.46780816,0.973744,0.0,0.11575368,0.093401186,0.26135963,0.021152914,0.787947,0.26626053,0.68216974,0.0,0.0,0.4679129,0.0,0.0,0.06092611,
Propagation - Offset - One Direction - Posterior,0.8205564,0.36393237,0.3423316,1.8896288,0.35213065,0.0,1.3135818,0.13898031,0.0,0.07694606,0.81611115,1.1750631,0.023460545,0.13452467,0.012499951,0.5532794,0.46831593,0.3850264,1.0528646,0.060512334,5.9085636,0.14101006,1.3481106,1.7140504,0.0,0.047378935,0.5373769,0.12298526,0.6758402,0.4154148,0.38196123,0.004693523,1.1067864,0.0,0.85328984,0.0,0.0,0.0,0.0,0.04062496,0.38052937,
